contains_dock,city,url,address,bedrooms,bathrooms,sqft,listing_price,cash_down_payment,loan_type,rate,remaining_balance,home_total
False,Gainesville,https://www.withroam.com/listing/2582-WHITE-SULPHUR-RD-GAINESVILLE-GA-30501/149145,"2582 White Sulphur Rd, Gainesville, GA 30501",3,1,1536,"$825,000","$690,298",,3.5%,"$134,701","$2,029"
False,Gainesville,https://www.withroam.com/listing/1457-BLUFF-VALLEY-CIR-GAINESVILLE-GA-30504/197257,"1457 Bluff Valley Cir, Gainesville, GA 30504",3,2,2004,"$329,900","$266,037",,3.88%,"$63,863","$1,065"
False,Gainesville,https://www.withroam.com/listing/1546-WALTER-STOVER-RD-GAINESVILLE-GA-30501/247976,"1546 Walter Stover Rd, Gainesville, GA 30501",3,3,2081,"$398,000","$354,263",,5.13%,"$43,736",$957
False,Atlanta,https://www.withroam.com/listing/3481-LAKESIDE-DR-NE-2204-ATLANTA-GA-30326/284986,"3481 Lakeside Dr NE # 2204, Atlanta, GA 30326",1,1,750,"$265,000","$51,880",,3.25%,"$213,119","$1,599"
False,Williamson,https://www.withroam.com/listing/385-BROWN-STATION-DR-WILLIAMSON-GA-30292/199383,"385 Brown Station Dr, Williamson, GA 30292",4,3,2734,"$465,000","$41,357",,4.16%,"$423,642","$2,883"
False,Carrollton,https://www.withroam.com/listing/40-WESTBROOK-RD-CARROLLTON-GA-30116/282336,"40 Westbrook Rd, Carrollton, GA 30116",3,2,1863,"$390,000","$69,183",,3.375%,"$320,817","$2,295"
False,Villa Rica,https://www.withroam.com/listing/3005-NICHOLAS-DR-VILLA-RICA-GA-30180/164242,"3005 Nicholas Dr, Villa Rica, GA 30180",4,5,2922,"$387,000","$52,686",,2.875%,"$334,313","$2,047"
False,Dallas,https://www.withroam.com/listing/443-BROOKS-RD-DALLAS-GA-30132/276675,"443 Brooks Rd, Dallas, GA 30132",3,2,1638,"$325,000","$109,185",,2.875%,"$215,814","$1,515"
False,Woodstock,https://www.withroam.com/listing/185-BELLEHAVEN-DR-WOODSTOCK-GA-30188/213111,"185 Bellehaven Dr, Woodstock, GA 30188",3,4,2706,"$515,000","$148,091",,2.7%,"$366,908","$2,907"
False,Social Circle,https://www.withroam.com/listing/556-WALTON-DR-SOCIAL-CIRCLE-GA-30025/256486,"556 Walton Dr, Social Circle, GA 30025",4,2,1759,"$319,900","$106,755",,2.875%,"$213,144","$1,482"
False,Yulee,https://www.withroam.com/listing/97254-BLUFF-VIEW-CIR-YULEE-FL-32097/272916,"97254 Bluff View Cir, Yulee, FL 32097",5,4,3428,"$639,000","$193,552",,2.875%,"$445,447","$3,080"
